Date,Close
2021-05-21,82500
2021-05-24,89000
2021-05-25,86000
2021-05-26,87300
2021-05-27,87300
2021-05-28,89400
2021-05-31,89900
2021-06-01,98500
2021-06-02,96600
2021-06-03,99400
2021-06-04,97000
2021-06-07,96600
2021-06-08,97500
2021-06-09,101600
2021-06-10,106400
2021-06-11,103200
2021-06-14,101000
2021-06-15,103200
2021-06-16,100600
2021-06-17,98500
2021-06-18,103800
2021-06-21,105000
2021-06-22,110000
2021-06-23,113400
2021-06-24,108800
2021-06-25,107600
2021-06-28,110600
2021-06-29,112400
2021-06-30,112000
2021-07-01,108800
2021-07-02,106200
2021-07-05,105000
2021-07-06,105000
2021-07-07,104000
2021-07-08,101600
2021-07-09,105400
2021-07-12,107000
2021-07-13,109600
2021-07-14,109800
2021-07-15,109000
2021-07-16,105000
2021-07-19,107800
2021-07-20,115400
2021-07-21,118800
2021-07-22,119800
2021-07-23,122800
2021-07-26,123400
2021-07-27,120600
2021-07-28,117200
2021-07-29,120200
2021-07-30,120000
2021-08-02,122600
2021-08-03,122800
2021-08-04,123600
2021-08-05,127000
2021-08-06,125600
2021-08-09,126800
2021-08-10,124800
2021-08-11,127200
2021-08-12,131000
2021-08-13,132000
2021-08-17,137000
2021-08-18,145000
2021-08-19,140600
2021-08-20,135800
2021-08-23,136600
2021-08-24,140200
2021-08-25,143200
2021-08-26,147200
2021-08-27,148400
2021-08-30,148400
2021-08-31,144600
2021-09-01,143400
2021-09-02,146400
2021-09-03,148200
2021-09-06,145600
2021-09-07,149600
2021-09-08,151000
2021-09-09,150400
2021-09-10,154600
2021-09-13,151800
2021-09-14,147000
2021-09-15,147800
2021-09-16,144600
2021-09-17,142400
2021-09-23,139600
2021-09-24,146200
2021-09-27,144800
2021-09-28,140000
2021-09-29,135600
2021-09-30,141800
2021-10-01,145800
2021-10-05,152400
2021-10-06,150000
2021-10-07,153000
2021-10-08,160000
2021-10-12,165000
2021-10-13,168200
2021-10-14,177600
2021-10-15,177400
2021-10-18,173600
2021-10-19,173400
2021-10-20,170000
2021-10-21,176200
2021-10-22,176000
2021-10-25,172000
2021-10-26,171600
2021-10-27,172200
2021-10-28,174600
2021-10-29,173600
2021-11-01,176400
2021-11-02,177400
2021-11-03,172600
2021-11-04,178400
2021-11-05,189000
2021-11-08,191400
2021-11-09,193800
2021-11-10,187200
2021-11-11,187400
2021-11-12,184400
2021-11-15,179400
2021-11-16,182600
2021-11-17,177800
2021-11-18,179600
2021-11-19,179000
2021-11-22,176200
2021-11-23,177600
2021-11-24,178600
2021-11-25,173000
2021-11-26,169000
2021-11-29,168000
2021-11-30,166000
2021-12-01,165000
2021-12-02,167800
2021-12-03,180000
2021-12-06,176200
2021-12-07,174200
2021-12-08,174800
2021-12-09,175800
2021-12-10,173800
2021-12-13,172600
2021-12-14,173000
2021-12-15,174000
2021-12-16,178000
2021-12-17,181400
2021-12-20,179800
2021-12-21,177000
2021-12-22,177000
2021-12-23,176000
2021-12-24,176000
2021-12-27,179000
2021-12-28,189400
2021-12-29,195800
2021-12-30,189000
2022-01-03,189000
2022-01-04,183800
2022-01-05,181800
2022-01-06,174600
2022-01-07,181600
2022-01-10,173200
2022-01-11,176200
2022-01-12,177400
2022-01-13,181600
2022-01-14,181600
2022-01-17,175600
2022-01-18,177000
2022-01-19,175600
2022-01-20,179800
2022-01-21,175600
2022-01-24,167800
2022-01-25,164800
2022-01-26,164400
2022-01-27,157400
2022-01-28,163600
2022-02-03,165200
2022-02-04,168400
2022-02-07,166400
2022-02-08,173800
2022-02-09,178200
2022-02-10,178200
2022-02-11,181600
2022-02-14,182400
2022-02-15,176000
2022-02-16,172600
2022-02-17,168200
2022-02-18,168600
2022-02-21,165200
2022-02-22,161200
2022-02-23,167200
2022-02-24,163600
2022-02-25,168600
2022-02-28,178000
2022-03-02,171400
2022-03-03,172800
2022-03-04,169200
2022-03-07,164000
2022-03-08,164400
2022-03-10,163000
2022-03-11,159800
2022-03-14,141000
2022-03-15,137800
2022-03-16,139000
2022-03-17,142000
2022-03-18,149600
2022-03-21,146600
2022-03-22,152400
2022-03-23,151800
2022-03-24,154600
2022-03-25,153800
2022-03-28,150000
2022-03-29,147800
2022-03-30,146000
2022-03-31,149000
2022-04-01,156000
2022-04-04,154200
2022-04-05,150000
2022-04-06,149000
2022-04-07,154000
2022-04-08,154000
2022-04-11,154000
2022-04-12,154000
2022-04-13,146000
2022-04-14,146500
2022-04-15,150000
2022-04-18,152000
2022-04-19,149500
2022-04-20,147000
2022-04-21,143000
2022-04-22,140000
2022-04-25,126500
2022-04-26,128000
2022-04-27,134000
2022-04-28,134000
2022-04-29,141000
2022-05-02,141500
2022-05-03,140500
2022-05-04,136000
2022-05-06,132000
2022-05-09,125000
2022-05-10,124500
2022-05-11,125000
2022-05-12,123000
2022-05-13,126000
2022-05-16,133000
2022-05-17,131500
2022-05-18,142000
2022-05-19,136000
2022-05-20,138000
2022-05-23,135500
2022-05-24,141000
2022-05-25,140000
2022-05-26,139500
2022-05-27,141000
2022-05-30,141500
2022-05-31,146000
2022-06-02,146500
2022-06-03,145500
2022-06-07,137000
2022-06-08,137000
2022-06-09,130000
2022-06-10,130500
2022-06-13,125500
2022-06-14,126000
2022-06-15,127000
2022-06-16,131500
2022-06-17,138500
2022-06-20,136500
2022-06-21,141000
2022-06-22,134500
2022-06-23,133000
2022-06-24,137500
2022-06-27,140500
2022-06-28,141000
2022-06-29,145500
2022-06-30,134500
2022-07-01,127500
2022-07-04,129000
2022-07-05,134500
2022-07-06,133000
2022-07-07,137500
2022-07-08,138000
2022-07-11,133000
2022-07-12,129500
2022-07-13,137500
2022-07-14,136000
2022-07-15,140500
2022-07-18,139000
2022-07-19,139500
2022-07-20,140000
2022-07-21,143000
2022-07-22,142000
2022-07-25,145000
2022-07-26,149000
2022-07-27,149000
2022-07-28,150500
2022-07-29,149500
2022-08-01,160000
2022-08-02,160000
2022-08-03,158500
2022-08-04,158500
2022-08-05,156000
2022-08-08,152500
2022-08-09,156000
2022-08-10,151500
2022-08-11,152500
2022-08-12,149500
2022-08-16,147500
2022-08-17,149500
2022-08-18,149000
2022-08-19,151500
2022-08-22,147500
2022-08-23,144500
2022-08-24,143000
2022-08-25,146000
2022-08-26,143000
2022-08-29,137000
2022-08-30,140000
2022-08-31,142500
2022-09-01,135000
2022-09-02,139000
2022-09-05,136000
2022-09-06,145500
2022-09-07,143500
2022-09-08,146500
2022-09-13,151000
2022-09-14,147500
2022-09-15,150500
2022-09-16,154000
2022-09-19,151000
2022-09-20,156000
2022-09-21,154000
2022-09-22,154500
2022-09-23,150000
2022-09-26,145000
2022-09-27,146000
2022-09-28,143000
2022-09-29,143000
2022-09-30,137500
2022-10-04,142500
2022-10-05,145500
2022-10-06,147000
2022-10-07,145500
2022-10-11,136000
2022-10-12,139000
2022-10-13,135000
2022-10-14,139000
2022-10-17,139000
2022-10-18,139000
2022-10-19,138000
2022-10-20,140000
2022-10-21,136000
2022-10-24,137500
2022-10-25,138000
2022-10-26,133500
2022-10-27,137000
2022-10-28,143500
2022-10-31,145500
2022-11-01,148500
2022-11-02,146500
2022-11-03,143000
2022-11-04,153500
2022-11-07,148000
2022-11-08,150500
2022-11-09,150500
2022-11-10,152000
2022-11-11,157500
2022-11-14,157000
2022-11-15,158500
2022-11-16,156500
2022-11-17,156000
2022-11-18,159000
2022-11-21,151000
2022-11-22,148500
2022-11-23,148000
2022-11-24,148000
2022-11-25,146000
2022-11-28,143000
2022-11-29,149500
2022-11-30,151500
2022-12-01,154000
2022-12-02,150500
2022-12-05,161000
2022-12-06,155000
2022-12-07,157000
2022-12-08,154500
2022-12-09,150500
2022-12-12,144500
2022-12-13,144000
2022-12-14,143500
2022-12-15,139000
2022-12-16,140500
2022-12-19,137000
2022-12-20,137000
2022-12-21,139500
2022-12-22,142000
2022-12-23,139500
2022-12-26,143000
2022-12-27,147000
2022-12-28,147500
2022-12-29,144500
2023-01-02,140000
2023-01-03,139000
2023-01-04,136000
2023-01-05,135500
2023-01-06,126000
2023-01-09,131500
2023-01-10,134000
2023-01-11,131500
2023-01-12,134500
2023-01-13,133000
2023-01-16,131000
2023-01-17,131000
2023-01-18,141000
2023-01-19,141500
2023-01-20,142000
2023-01-25,148100
2023-01-26,145900
2023-01-27,147000
2023-01-30,148300
2023-01-31,151700
2023-02-01,151000
2023-02-02,152600
2023-02-03,152500
2023-02-06,150300
2023-02-07,150200
2023-02-08,149900
2023-02-09,148600
2023-02-10,153000
2023-02-13,151100
2023-02-14,151900
2023-02-15,147700
2023-02-16,149700
2023-02-17,146600
2023-02-20,147700
2023-02-21,144800
2023-02-22,142400
2023-02-23,141400
2023-02-24,142900
2023-02-27,140700
2023-02-28,138900
2023-03-02,143500
2023-03-03,142600
2023-03-06,144000
2023-03-07,140000
2023-03-08,142000
2023-03-09,142800
2023-03-10,141100
2023-03-13,140000
2023-03-14,134500
2023-03-15,132300
2023-03-16,129900
2023-03-17,130000
2023-03-20,131300
2023-03-21,133200
2023-03-22,132700
2023-03-23,131100
2023-03-24,134400
2023-03-27,136000
2023-03-28,139500
2023-03-29,138000
2023-03-30,138000
2023-03-31,139500
2023-04-03,140600
2023-04-04,143400
2023-04-05,140400
2023-04-06,136600
2023-04-07,137100
2023-04-10,136700
2023-04-11,141100
2023-04-12,140000
2023-04-13,139500
2023-04-14,140300
2023-04-17,143100
2023-04-18,149400
2023-04-19,145500
2023-04-20,142700
2023-04-21,134700
2023-04-24,136900
2023-04-25,138000
2023-04-26,138000
2023-04-27,136900
2023-04-28,141000
2023-05-02,145300
2023-05-03,146400
2023-05-04,147800
2023-05-08,143900
2023-05-09,141000
2023-05-10,140500
2023-05-11,139200
2023-05-12,138600
2023-05-15,139800
2023-05-16,137900
2023-05-17,139900
2023-05-18,138800
2023-05-19,137600
2023-05-22,135200
2023-05-23,137800
2023-05-24,134400
2023-05-25,132300
2023-05-26,134700
2023-05-30,131700
2023-05-31,129400
2023-06-01,128000
2023-06-02,132800
2023-06-05,132300
2023-06-07,132300
2023-06-08,130600
2023-06-09,131300
2023-06-12,130700
2023-06-13,130600
2023-06-14,130900
2023-06-15,130600
2023-06-16,135200
2023-06-19,134600
2023-06-20,134700
2023-06-21,130700
2023-06-22,129200
2023-06-23,125400
2023-06-26,123900
2023-06-27,122100
2023-06-28,120600
2023-06-29,119600
2023-06-30,119600
2023-07-03,120200
2023-07-04,121200
2023-07-05,117000
2023-07-06,115600
2023-07-07,112400
2023-07-10,112800
2023-07-11,114600
2023-07-12,118400
2023-07-13,117500
2023-07-14,117900
2023-07-17,116000
2023-07-18,114600
2023-07-19,105300
2023-07-20,105000
2023-07-21,103300
2023-07-24,99700
2023-07-25,99000
2023-07-26,97800
2023-07-27,102500
2023-07-28,101100
2023-07-31,103500
2023-08-01,104000
2023-08-02,102700
2023-08-03,102500
2023-08-04,107800
2023-08-07,106800
2023-08-08,105900
2023-08-09,105300
2023-08-10,108900
2023-08-11,106000
2023-08-14,112600
2023-08-16,106900
2023-08-17,105500
2023-08-18,103600
2023-08-21,101100
2023-08-22,100700
2023-08-23,98800
2023-08-24,98800
2023-08-25,101200
2023-08-28,103500
2023-08-29,103900
2023-08-30,104100
2023-08-31,103000
2023-09-01,103200
2023-09-04,104100
2023-09-05,106700
2023-09-06,112400
2023-09-07,110700
2023-09-08,112600
2023-09-11,118000
2023-09-12,115600
2023-09-13,114900
2023-09-14,114400
2023-09-15,117000
2023-09-18,119000
2023-09-19,117400
2023-09-20,116300
2023-09-21,112000
2023-09-22,112000
2023-09-25,113900
2023-09-26,111200
2023-09-27,113000
2023-10-04,110900
2023-10-05,107500
2023-10-06,107500
2023-10-10,105500
2023-10-11,101800
2023-10-12,102300
2023-10-13,103200
2023-10-16,102000
2023-10-17,100400
2023-10-18,100400
2023-10-19,97100
2023-10-20,91900
2023-10-23,92300
2023-10-24,93600
2023-10-25,94500
2023-10-26,91900
2023-10-27,87000
2023-10-30,93600
2023-10-31,93400
