Date,Close
1999-08-02,5131
1999-08-03,5304
1999-08-04,5368
1999-08-05,5016
1999-08-06,5102
1999-08-09,5195
1999-08-10,5391
1999-08-11,6198
1999-08-12,6976
1999-08-13,6227
1999-08-16,6111
1999-08-17,5823
1999-08-18,6082
1999-08-19,6054
1999-08-20,6082
1999-08-23,6428
1999-08-24,6919
1999-08-25,6861
1999-08-26,6457
1999-08-27,6255
1999-08-30,6342
1999-08-31,6400
1999-09-01,6054
1999-09-02,5938
1999-09-03,5910
1999-09-06,5967
1999-09-07,5823
1999-09-08,5506
1999-09-09,5425
1999-09-10,5552
1999-09-13,5644
1999-09-14,5546
1999-09-15,5552
1999-09-16,5460
1999-09-17,5287
1999-09-20,5102
1999-09-21,5102
1999-09-22,4831
1999-09-27,4583
1999-09-28,4612
1999-09-29,4612
1999-09-30,4497
1999-10-01,4318
1999-10-04,3891
1999-10-05,3309
1999-10-06,3603
1999-10-07,4041
1999-10-08,4151
1999-10-11,3984
1999-10-12,4382
1999-10-13,4353
1999-10-14,4312
1999-10-15,4209
1999-10-18,3920
1999-10-19,3949
1999-10-20,3943
1999-10-21,3920
1999-10-22,3891
1999-10-25,3644
1999-10-26,3546
1999-10-27,3603
1999-10-28,3747
1999-10-29,3707
1999-11-01,3915
1999-11-02,3955
1999-11-03,3880
1999-11-04,3920
1999-11-05,3978
1999-11-08,4036
1999-11-09,4087
1999-11-10,3880
1999-11-11,3730
1999-11-12,3609
1999-11-15,3569
1999-11-16,3793
1999-11-17,3661
1999-11-18,3632
1999-11-19,3828
1999-11-22,4087
1999-11-23,3920
1999-11-24,3776
1999-11-25,3638
1999-11-26,3586
1999-11-29,3632
1999-11-30,3920
1999-12-01,3672
1999-12-02,3632
1999-12-03,3574
1999-12-06,3551
1999-12-07,3298
1999-12-08,3234
1999-12-09,3119
1999-12-10,3494
1999-12-13,3592
1999-12-14,3632
1999-12-15,3580
1999-12-16,3580
1999-12-17,3476
1999-12-20,3355
1999-12-21,3223
1999-12-22,3015
1999-12-23,2969
1999-12-24,3084
1999-12-27,3113
1999-12-28,3228
2000-01-04,3078
2000-01-05,2886
2000-01-06,2753
2000-01-07,2795
2000-01-10,3036
2000-01-11,2916
2000-01-12,2814
2000-01-13,2747
2000-01-14,2651
2000-01-17,2585
2000-01-18,2453
2000-01-19,2260
2000-01-20,2345
2000-01-21,2405
2000-01-24,2405
2000-01-25,2405
2000-01-26,2495
2000-01-27,2651
2000-01-28,2573
2000-01-31,2573
2000-02-01,2483
2000-02-02,2543
2000-02-03,2633
2000-02-07,2618
2000-02-08,2495
2000-02-09,2402
2000-02-10,2284
2000-02-11,2164
2000-02-14,2068
2000-02-15,2014
2000-02-16,2074
2000-02-17,2044
2000-02-18,1954
2000-02-21,1824
2000-02-22,1791
2000-02-23,1954
2000-02-24,1803
2000-02-25,1851
2000-02-28,1812
2000-02-29,1809
2000-03-02,1839
2000-03-03,1800
2000-03-06,1903
2000-03-07,2167
2000-03-08,2098
2000-03-09,2176
2000-03-10,2122
2000-03-13,2074
2000-03-14,2116
2000-03-15,2164
2000-03-16,2134
2000-03-17,2140
2000-03-20,2134
2000-03-21,2092
2000-03-22,2116
2000-03-23,2026
2000-03-24,1978
2000-03-27,2020
2000-03-28,1984
2000-03-29,1993
2000-03-30,2014
2000-03-31,2002
2000-04-03,2008
2000-04-04,2032
2000-04-06,2020
2000-04-07,2092
2000-04-10,2194
2000-04-11,2146
2000-04-12,2164
2000-04-14,2116
2000-04-17,1924
2000-04-18,2002
2000-04-19,2038
2000-04-20,2314
2000-04-21,2345
2000-04-24,2284
2000-04-25,2615
2000-04-26,2287
2000-04-27,2164
2000-04-28,2188
2000-05-02,2182
2000-05-03,2164
2000-05-04,2170
2000-05-08,2224
2000-05-09,2146
2000-05-10,2164
2000-05-12,2053
2000-05-15,1930
2000-05-16,1936
2000-05-17,1689
2000-05-18,1596
2000-05-19,1641
2000-05-22,1509
2000-05-23,1548
2000-05-24,1743
2000-05-25,1876
2000-05-26,1653
2000-05-29,1713
