Date,Close
1999-08-02,1642
1999-08-03,1609
1999-08-04,1622
1999-08-05,1689
1999-08-06,1635
1999-08-09,1696
1999-08-10,1649
1999-08-11,1612
1999-08-12,1582
1999-08-13,1568
1999-08-16,1509
1999-08-17,1568
1999-08-18,1548
1999-08-19,1551
1999-08-20,1575
1999-08-23,1676
1999-08-24,1776
1999-08-25,1763
1999-08-26,1817
1999-08-27,1864
1999-08-30,1938
1999-08-31,1970
1999-09-01,1918
1999-09-02,1911
1999-09-03,1877
1999-09-06,1874
1999-09-07,1850
1999-09-08,1824
1999-09-09,1871
1999-09-10,1911
1999-09-13,1924
1999-09-14,1884
1999-09-15,1884
1999-09-16,1887
1999-09-17,1817
1999-09-20,1810
1999-09-21,1837
1999-09-22,1810
1999-09-27,1773
1999-09-28,1810
1999-09-29,1776
1999-09-30,1669
1999-10-01,1622
1999-10-04,1521
1999-10-05,1541
1999-10-06,1622
1999-10-07,1703
1999-10-08,1719
1999-10-11,1686
1999-10-12,1877
1999-10-13,1864
1999-10-14,1864
1999-10-15,1797
1999-10-18,1770
1999-10-19,1743
1999-10-20,1897
1999-10-21,1830
1999-10-22,1830
1999-10-25,1783
1999-10-26,1783
1999-10-27,1783
1999-10-28,1817
1999-10-29,1884
1999-11-01,1931
1999-11-02,1970
1999-11-03,1951
1999-11-04,1944
1999-11-05,1904
1999-11-08,1941
1999-11-09,2011
1999-11-10,1911
1999-11-11,1911
1999-11-12,1810
1999-11-15,1783
1999-11-16,1844
1999-11-17,2011
1999-11-18,2044
1999-11-19,2118
1999-11-22,2078
1999-11-23,2044
1999-11-24,1904
1999-11-25,1837
1999-11-26,1776
1999-11-29,1756
1999-11-30,1766
1999-12-01,1709
1999-12-02,1743
1999-12-03,1810
1999-12-06,1719
1999-12-07,1622
1999-12-08,1388
1999-12-09,1595
1999-12-10,1642
1999-12-13,1642
1999-12-14,1642
1999-12-15,1615
1999-12-16,1615
1999-12-17,1609
1999-12-20,1568
1999-12-21,1555
1999-12-22,1408
1999-12-23,1374
1999-12-24,1341
1999-12-27,1314
1999-12-28,1341
2000-01-04,1317
2000-01-05,1395
2000-01-06,1341
2000-01-07,1368
2000-01-10,1368
2000-01-11,1361
2000-01-12,1361
2000-01-13,1428
2000-01-14,1368
2000-01-17,1364
2000-01-18,1341
2000-01-19,1274
2000-01-20,1274
2000-01-21,1341
2000-01-24,1341
2000-01-25,1334
2000-01-26,1401
2000-01-27,1425
2000-01-28,1408
2000-01-31,1388
2000-02-01,1408
2000-02-02,1509
2000-02-03,1515
2000-02-07,1442
2000-02-08,1452
2000-02-09,1401
2000-02-10,1307
2000-02-11,1300
2000-02-14,1280
2000-02-15,1240
2000-02-16,1186
2000-02-17,1173
2000-02-18,1149
2000-02-21,1033
2000-02-22,1053
2000-02-23,1139
2000-02-24,1173
2000-02-25,1173
2000-02-28,1220
2000-02-29,1200
2000-03-02,1203
2000-03-03,1119
2000-03-06,1223
2000-03-07,1297
2000-03-08,1361
2000-03-09,1173
2000-03-10,1307
2000-03-13,1408
2000-03-14,1405
2000-03-15,1364
2000-03-16,1334
2000-03-17,1368
2000-03-20,1341
2000-03-21,1334
2000-03-22,1341
2000-03-23,1307
2000-03-24,1307
2000-03-27,1304
