Date,Close
1999-08-02,10101
1999-08-03,10580
1999-08-04,10420
1999-08-05,9981
1999-08-06,10141
1999-08-09,10381
1999-08-10,10779
1999-08-11,10660
1999-08-12,10580
1999-08-13,10081
1999-08-16,9781
1999-08-17,9182
1999-08-18,9082
1999-08-19,9502
1999-08-20,9462
1999-08-23,9662
1999-08-24,9742
1999-08-25,9941
1999-08-26,9662
1999-08-27,9442
1999-08-30,9981
1999-08-31,9822
1999-09-01,9222
1999-09-02,8983
1999-09-03,8983
1999-09-06,8903
1999-09-07,9182
1999-09-08,9581
1999-09-09,9263
1999-09-10,9143
1999-09-13,7785
1999-09-14,8784
1999-09-15,8603
1999-09-16,8424
1999-09-17,8264
1999-09-20,8384
1999-09-21,8544
1999-09-22,8424
1999-09-27,8264
1999-09-28,8304
1999-09-29,8224
1999-09-30,8344
1999-10-01,8384
1999-10-04,8384
1999-10-05,8384
1999-10-06,8544
1999-10-07,8903
1999-10-08,8903
1999-10-11,8784
1999-10-12,8703
1999-10-13,8843
1999-10-14,8624
1999-10-15,8424
1999-10-18,7905
1999-10-19,7865
1999-10-20,8584
1999-10-21,8224
1999-10-22,8185
1999-10-25,7945
1999-10-26,7925
1999-10-27,7865
1999-10-28,7945
1999-10-29,7985
1999-11-01,8065
1999-11-02,8264
1999-11-03,8045
1999-11-04,8085
1999-11-05,8185
1999-11-08,8185
1999-11-09,8224
1999-11-10,8065
1999-11-11,8025
1999-11-12,8085
1999-11-15,8085
1999-11-16,7965
1999-11-17,7785
1999-11-18,7965
1999-11-19,7865
1999-11-22,7925
1999-11-23,7746
1999-11-24,7585
1999-11-25,7267
1999-11-26,6827
1999-11-29,6827
1999-11-30,6987
1999-12-01,6907
1999-12-02,7925
1999-12-03,7485
1999-12-06,7407
1999-12-07,7086
1999-12-08,8065
1999-12-09,9263
1999-12-10,8983
1999-12-13,9781
1999-12-14,10580
1999-12-15,9003
1999-12-16,8504
1999-12-17,8324
1999-12-20,8384
1999-12-21,7985
1999-12-22,7785
1999-12-23,7585
1999-12-24,7226
1999-12-27,7506
1999-12-28,7985
2000-01-04,8189
2000-01-05,7985
2000-01-06,7453
2000-01-07,7985
2000-01-10,7637
2000-01-11,7657
2000-01-12,7370
2000-01-13,7248
2000-01-14,7023
2000-01-17,7043
2000-01-18,7043
2000-01-19,6552
2000-01-20,6224
2000-01-21,6142
2000-01-24,6142
2000-01-25,6142
2000-01-26,6224
2000-01-27,6511
2000-01-28,6552
2000-01-31,6633
2000-02-01,6592
2000-02-02,6818
2000-02-03,6838
2000-02-07,6797
2000-02-08,6633
2000-02-09,6756
2000-02-10,6388
2000-02-11,6879
2000-02-14,6675
2000-02-15,6470
2000-02-16,6552
2000-02-17,7002
2000-02-18,8047
2000-02-21,7780
2000-02-22,7534
2000-02-23,7534
2000-02-24,8026
2000-02-25,7719
2000-02-28,7370
2000-02-29,7228
2000-03-02,8272
2000-03-03,8108
2000-03-06,8087
2000-03-07,8026
2000-03-08,7821
2000-03-09,7903
2000-03-10,7903
2000-03-13,8108
2000-03-14,7494
2000-03-15,7166
2000-03-16,7166
2000-03-17,7084
2000-03-20,7187
2000-03-21,6982
2000-03-22,6961
2000-03-23,6859
2000-03-24,7002
2000-03-27,6961
2000-03-28,7228
2000-03-29,7411
2000-03-30,7637
2000-03-31,7125
2000-04-03,6838
2000-04-04,6552
2000-04-06,6428
2000-04-07,6552
2000-04-10,6838
2000-04-11,6388
2000-04-12,6490
2000-04-14,6531
2000-04-17,5590
2000-04-18,5753
2000-04-19,5814
2000-04-20,6675
2000-04-21,6982
2000-04-24,7370
2000-04-25,7248
2000-04-26,7002
2000-04-27,7166
2000-04-28,8230
2000-05-02,8333
2000-05-03,7637
2000-05-04,7739
2000-05-08,7453
2000-05-09,7248
2000-05-10,7248
2000-05-12,7248
2000-05-15,7370
2000-05-16,6797
2000-05-17,6052
2000-05-18,5733
2000-05-19,5479
2000-05-22,4668
2000-05-23,5364
2000-05-24,5241
2000-05-25,5651
2000-05-26,4832
2000-05-29,5134
2000-05-30,5241
2000-05-31,5413
2000-06-01,5610
2000-06-02,5487
2000-06-05,5773
2000-06-07,6633
2000-06-08,6101
