Date,Close
2021-07-16,61000
2021-07-19,59100
2021-07-20,58400
2021-07-21,57800
2021-07-22,55000
2021-07-23,57000
2021-07-26,58900
2021-07-27,58000
2021-07-28,56400
2021-07-29,55800
2021-07-30,56400
2021-08-02,55600
2021-08-03,58300
2021-08-04,58200
2021-08-05,58800
2021-08-06,57900
2021-08-09,58300
2021-08-10,61800
2021-08-11,64100
2021-08-12,61200
2021-08-13,59000
2021-08-17,56000
2021-08-18,56200
2021-08-19,55500
2021-08-20,52600
2021-08-23,50800
2021-08-24,52400
2021-08-25,51100
2021-08-26,51200
2021-08-27,52800
2021-08-30,50700
2021-08-31,49000
2021-09-01,49100
2021-09-02,46850
2021-09-03,47150
2021-09-06,45950
2021-09-07,45750
2021-09-08,42700
2021-09-09,41850
2021-09-10,40950
2021-09-13,42800
2021-09-14,44600
2021-09-15,47900
2021-09-16,47100
2021-09-17,48250
2021-09-23,49900
2021-09-24,49350
2021-09-27,47600
2021-09-28,46700
2021-09-29,45050
2021-09-30,45150
2021-10-01,44250
2021-10-05,44850
2021-10-06,42250
2021-10-07,43400
2021-10-08,43700
2021-10-12,43500
2021-10-13,44500
2021-10-14,45700
2021-10-15,46250
2021-10-18,45900
2021-10-19,46400
2021-10-20,46450
2021-10-21,45800
2021-10-22,47000
2021-10-25,45450
2021-10-26,45600
2021-10-27,45650
2021-10-28,46150
2021-10-29,45800
2021-11-01,47300
2021-11-02,47850
2021-11-03,49850
2021-11-04,48650
2021-11-05,48700
2021-11-08,46000
2021-11-09,47150
2021-11-10,46050
2021-11-11,44400
2021-11-12,49650
2021-11-15,51600
2021-11-16,53300
2021-11-17,53600
2021-11-18,53300
2021-11-19,53700
2021-11-22,51000
2021-11-23,51100
2021-11-24,51600
2021-11-25,53000
2021-11-26,58000
2021-11-29,57300
2021-11-30,58400
2021-12-01,53000
2021-12-02,51800
2021-12-03,51200
2021-12-06,52000
2021-12-07,52100
2021-12-08,53900
2021-12-09,53400
2021-12-10,53000
2021-12-13,54600
2021-12-14,55100
2021-12-15,56000
2021-12-16,56700
2021-12-17,56300
2021-12-20,56900
2021-12-21,56600
2021-12-22,56700
2021-12-23,54400
2021-12-24,54000
2021-12-27,55100
2021-12-28,53600
2021-12-29,54500
2021-12-30,55900
2022-01-03,54400
2022-01-04,56300
2022-01-05,56900
2022-01-06,56600
2022-01-07,57000
2022-01-10,55700
2022-01-11,56000
2022-01-12,54600
2022-01-13,50900
2022-01-14,48400
2022-01-17,49750
2022-01-18,52400
2022-01-19,51400
2022-01-20,53400
2022-01-21,55000
2022-01-24,55700
2022-01-25,55200
2022-01-26,56900
2022-01-27,55000
2022-01-28,60500
2022-02-03,78600
2022-02-04,67800
2022-02-07,70200
2022-02-08,65600
2022-02-09,62700
2022-02-10,62700
2022-02-11,60000
2022-02-14,59800
2022-02-15,55000
2022-02-16,56600
2022-02-17,54000
2022-02-18,54300
2022-02-21,53000
2022-02-22,51700
2022-02-23,53400
2022-02-24,53900
2022-02-25,53000
2022-02-28,54600
2022-03-02,54800
2022-03-03,55200
2022-03-04,55700
2022-03-07,53600
2022-03-08,54200
2022-03-10,55900
2022-03-11,53900
2022-03-14,54300
2022-03-15,57500
2022-03-16,58400
2022-03-17,58100
2022-03-18,58700
2022-03-21,55800
2022-03-22,56800
2022-03-23,56700
2022-03-24,57500
2022-03-25,58500
2022-03-28,56400
2022-03-29,56300
2022-03-30,57700
2022-03-31,55800
2022-04-01,54800
2022-04-04,55000
2022-04-05,55700
2022-04-06,55400
2022-04-07,54200
2022-04-08,53300
2022-04-11,50800
2022-04-12,52300
2022-04-13,51600
2022-04-14,50900
2022-04-15,48500
2022-04-18,48200
2022-04-19,48800
2022-04-20,49100
2022-04-21,48100
2022-04-22,48450
2022-04-25,46100
2022-04-26,46050
2022-04-27,45100
