Date,Close
1999-08-02,3798
1999-08-03,3917
1999-08-04,3838
1999-08-05,4016
1999-08-06,4616
1999-08-09,4448
1999-08-10,4125
1999-08-11,4046
1999-08-12,4046
1999-08-13,3947
1999-08-16,3867
1999-08-17,3600
1999-08-18,3471
1999-08-19,3649
1999-08-20,3620
1999-08-23,3719
1999-08-24,3649
1999-08-25,3669
1999-08-26,3570
1999-08-27,3565
1999-08-30,3461
1999-08-31,3377
1999-09-01,3203
1999-09-02,3044
1999-09-03,3104
1999-09-06,3029
1999-09-07,3193
1999-09-08,3024
1999-09-09,3024
1999-09-10,3044
1999-09-13,3000
1999-09-14,3005
1999-09-15,2955
1999-09-16,2925
1999-09-17,2776
1999-09-20,2886
1999-09-21,2896
1999-09-22,2776
1999-09-27,2653
1999-09-28,2514
1999-09-29,2529
1999-09-30,2291
1999-10-01,2191
1999-10-04,2172
1999-10-05,2033
1999-10-06,2082
1999-10-07,2395
1999-10-08,2439
1999-10-11,2469
1999-10-12,2429
1999-10-13,2429
1999-10-14,2400
1999-10-15,2295
1999-10-18,2181
1999-10-19,2172
1999-10-20,2335
1999-10-21,2449
1999-10-22,2380
1999-10-25,2241
1999-10-26,2315
1999-10-27,2281
1999-10-28,2315
1999-10-29,2305
1999-11-01,2380
1999-11-02,2350
1999-11-03,2370
1999-11-04,2390
1999-11-05,2464
1999-11-08,2405
1999-11-09,2419
1999-11-10,2419
1999-11-11,2400
1999-11-12,2320
1999-11-15,2291
1999-11-16,2295
1999-11-17,2186
1999-11-18,2340
1999-11-19,2251
1999-11-22,2261
1999-11-23,2196
1999-11-24,2092
1999-11-25,2003
1999-11-26,1933
1999-11-29,2082
1999-11-30,2013
1999-12-01,1983
1999-12-02,2281
1999-12-03,2142
1999-12-06,2062
1999-12-07,1933
1999-12-08,2062
1999-12-09,2092
1999-12-10,2052
1999-12-13,2360
1999-12-14,2712
1999-12-15,2796
1999-12-16,2380
1999-12-17,2181
1999-12-20,2162
1999-12-21,2008
1999-12-22,1983
1999-12-23,1993
1999-12-24,1953
1999-12-27,1844
1999-12-28,1810
2000-01-04,2000
2000-01-05,2010
2000-01-06,1880
2000-01-07,2030
2000-01-10,1980
2000-01-11,1940
2000-01-12,1860
2000-01-13,1850
2000-01-14,1790
2000-01-17,1830
2000-01-18,1765
2000-01-19,1660
2000-01-20,1575
2000-01-21,1580
2000-01-24,1565
2000-01-25,1500
2000-01-26,1500
2000-01-27,1630
2000-01-28,1600
2000-01-31,1600
2000-02-01,1605
2000-02-02,1670
2000-02-03,1700
2000-02-07,1675
2000-02-08,1620
2000-02-09,1625
2000-02-10,1540
2000-02-11,1590
2000-02-14,1500
2000-02-15,1400
2000-02-16,1415
2000-02-17,1460
2000-02-18,1590
2000-02-21,1450
2000-02-22,1355
2000-02-23,1490
2000-02-24,1420
2000-02-25,1400
2000-02-28,1435
2000-02-29,1430
2000-03-02,1640
2000-03-03,1570
2000-03-06,1680
2000-03-07,1640
2000-03-08,1610
2000-03-09,1600
2000-03-10,1610
2000-03-13,1610
2000-03-14,1680
2000-03-15,1520
2000-03-16,1470
2000-03-17,1485
2000-03-20,1435
2000-03-21,1410
2000-03-22,1485
2000-03-23,1430
2000-03-24,1435
2000-03-27,1440
2000-03-28,1430
2000-03-29,1390
2000-03-30,1340
2000-03-31,1330
2000-04-03,1205
2000-04-04,1175
2000-04-06,1155
2000-04-07,1210
2000-04-10,1230
2000-04-11,1170
2000-04-12,1175
2000-04-14,1155
2000-04-17,995
2000-04-18,1030
2000-04-19,1050
2000-04-20,1025
2000-04-21,1050
2000-04-24,1035
2000-04-25,1035
2000-04-26,1000
2000-04-27,985
2000-04-28,1005
2000-05-02,1040
2000-05-03,1195
2000-05-04,1370
2000-05-08,1575
2000-05-09,1810
2000-05-10,2080
2000-05-12,2390
2000-05-15,2100
2000-05-16,1785
2000-05-17,1670
2000-05-18,1420
2000-05-19,1400
2000-05-22,1260
2000-05-23,1180
2000-05-24,1260
2000-05-25,1380
2000-05-26,1180
2000-05-29,1180
2000-05-30,1215
2000-05-31,1395
2000-06-01,1460
2000-06-02,1385
2000-06-05,1430
2000-06-07,1425
2000-06-08,1320
2000-06-09,1310
2000-06-12,1505
2000-06-13,1390
2000-06-14,1395
2000-06-15,1270
2000-06-16,1340
2000-06-19,1375
